timestamp,src_ip,dst_ip,src_mac,dst_mac,protocol,length,info,command,packets_per_second,src_port,dst_port,attack_label
1756030805.8887424,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,122,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,24105.19540229885,14551.0,14550.0,normal
1756030805.888784,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,24105.19540229885,,,normal
1756030805.9104006,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,144,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,12075.727969052852,14551.0,14550.0,normal
1756030805.9104276,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,20423.063483793347,,,normal
1756030805.931121,,,a0:14:3d:ed:92:14,ff:ff:ff:ff:ff:ff,802.11,207,"Beacon Frame, SSID='Hidden'",,15329.378677422463,,,normal
1756030805.9323218,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,115,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,12430.075777521768,14551.0,14550.0,normal
1756030805.9323354,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,22622.443264893867,,,normal
1756030805.9526217,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,19397.707698305683,14551.0,14550.0,normal
1756030805.952716,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,18296.953831977065,,,normal
1756030805.974437,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,143,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,16269.074365886494,14551.0,14550.0,normal
1756030805.974547,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,15551.994261185047,,,normal
1756030805.9960508,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,14142.404159048316,14551.0,14550.0,normal
1756030805.9961662,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,13686.030258741948,,,normal
